,Conference,Location,Points,FG made,FG attempts,3P made,3P attempts,FT made,FT attempts,Off Reb,Team Reb,Assists,Steals,Blocks,turnovers,Pers Fouls,Opponent Conf,Points opp,FG made opp,FG attempts opp,3P made opp,3P attempts opp,FT made opp,FT attempts opp,Off Reb opp,Team Reb opp,Assists opp,Steals opp,Blocks opp,turnovers opp,Pers Fouls opp
6092,PacTwelve,,85,26,57,5,22,28,40,11,33,16,6,2,6,18,PacTwelve,80,28,56,6,17,18,24,8,27,15,3,3,11,27
6093,PacTwelve,,52,15,59,6,23,16,18,15,27,9,6,3,9,17,PacTwelve,65,23,45,9,17,10,12,7,34,13,3,1,15,20
6094,PacTwelve,@,68,25,52,6,16,12,19,3,31,15,6,6,10,17,PacTwelve,52,21,55,6,16,4,10,8,30,7,2,0,14,17
6095,PacTwelve,@,69,20,54,3,21,26,31,9,35,8,9,3,15,25,PacTwelve,60,19,46,3,17,19,25,2,23,9,4,4,13,21
6096,PacTwelve,,89,28,64,10,21,23,28,10,32,17,7,5,8,19,PacTwelve,63,22,53,6,22,13,15,9,32,14,3,5,20,18
6097,PacTwelve,,72,26,58,10,23,10,21,11,32,16,5,4,13,14,PacTwelve,73,26,61,10,28,11,14,8,34,14,6,5,10,18
6098,PacTwelve,@,48,16,57,3,26,13,15,13,36,7,10,0,15,19,PacTwelve,57,20,47,6,20,11,17,4,29,7,10,5,14,16
6099,PacTwelve,@,64,24,54,6,21,10,16,10,33,13,5,2,12,25,PacTwelve,69,17,51,6,18,29,38,8,31,10,3,5,7,17
6100,PacTwelve,,83,32,68,9,18,10,13,8,36,22,7,6,13,19,PacTwelve,62,18,56,4,19,22,24,9,32,5,6,2,16,14
6101,PacTwelve,,63,20,57,8,21,15,22,13,37,12,5,3,17,19,PacTwelve,69,24,56,6,17,15,17,6,30,11,11,5,14,19
6102,PacTwelve,N,77,23,58,9,24,22,29,10,31,18,9,4,13,21,PacTwelve,70,23,58,3,23,21,24,10,40,7,9,2,18,23
6103,PacTwelve,N,71,25,65,8,20,13,18,5,33,12,10,6,16,24,PacTwelve,81,30,65,6,16,15,25,10,45,12,6,3,18,14
6104,PacTwelve,@,82,29,60,8,16,16,24,9,35,13,10,3,12,24,PacTwelve,76,23,50,8,21,22,31,5,31,13,5,5,14,18
6105,PacTwelve,@,69,23,59,9,29,14,16,8,25,12,4,2,9,18,PacTwelve,78,26,54,12,29,14,23,9,34,16,4,4,12,16
