,Conference,Location,Points,FG made,FG attempts,3P made,3P attempts,FT made,FT attempts,Off Reb,Team Reb,Assists,Steals,Blocks,turnovers,Pers Fouls,Opponent Conf,Points opp,FG made opp,FG attempts opp,3P made opp,3P attempts opp,FT made opp,FT attempts opp,Off Reb opp,Team Reb opp,Assists opp,Steals opp,Blocks opp,turnovers opp,Pers Fouls opp
104,SEC,,67,24,56,7,16,7,14,13,44,12,3,4,14,20,SEC,50,13,49,2,12,14,25,9,28,8,3,5,9,19
105,SEC,@,51,24,56,7,16,7,14,13,44,12,3,4,14,20,SEC,60,13,49,2,12,14,25,9,28,8,3,5,9,19
106,SEC,N,63,24,56,7,16,7,14,13,44,12,3,4,14,20,SEC,57,13,49,2,12,14,25,9,28,8,3,5,9,19
107,SEC,N,63,24,56,7,16,7,14,13,44,12,3,4,14,20,SEC,66,13,49,2,12,14,25,9,28,8,3,5,9,19
108,SEC,@,74,25,56,11,22,13,21,10,34,11,3,4,16,22,BigTen,81,25,53,4,15,27,34,5,25,16,8,2,7,18
109,SEC,@,68,25,56,11,22,13,21,10,34,11,3,4,16,22,ACC,72,25,53,4,15,27,34,5,25,16,8,2,7,18
110,SEC,,78,25,56,11,22,13,21,10,34,11,3,4,16,22,PacTwelve,72,25,53,4,15,27,34,5,25,16,8,2,7,18
111,SEC,,82,25,56,11,22,13,21,10,34,11,3,4,16,22,ACC,64,25,53,4,15,27,34,5,25,16,8,2,7,18
112,SEC,@,83,25,56,11,22,13,21,10,34,11,3,4,16,22,BigTen,85,25,53,4,15,27,34,5,25,16,8,2,7,18
113,SEC,,70,25,56,11,22,13,21,10,34,11,3,4,16,22,SEC,48,25,53,4,15,27,34,5,25,16,8,2,7,18
114,SEC,@,79,25,56,11,22,13,21,10,34,11,3,4,16,22,SEC,65,25,53,4,15,27,34,5,25,16,8,2,7,18
115,SEC,@,64,25,56,11,22,13,21,10,34,11,3,4,16,22,SEC,60,25,53,4,15,27,34,5,25,16,8,2,7,18
116,SEC,,69,25,56,11,22,13,21,10,34,11,3,4,16,22,SEC,57,25,53,4,15,27,34,5,25,16,8,2,7,18
117,SEC,,74,25,56,11,22,13,21,10,34,11,3,4,16,22,SEC,66,25,53,4,15,27,34,5,25,16,8,2,7,18
118,SEC,,73,25,56,11,22,13,21,10,34,11,3,4,16,22,SEC,65,25,53,4,15,27,34,5,25,16,8,2,7,18
119,SEC,@,62,25,56,11,22,13,21,10,34,11,3,4,16,22,SEC,76,25,53,4,15,27,34,5,25,16,8,2,7,18
120,SEC,@,67,25,56,11,22,13,21,10,34,11,3,4,16,22,SEC,77,25,53,4,15,27,34,5,25,16,8,2,7,18
121,SEC,N,71,25,56,11,22,13,21,10,34,11,3,4,16,22,ACC,45,25,53,4,15,27,34,5,25,16,8,2,7,18
122,SEC,N,68,25,56,11,22,13,21,10,34,11,3,4,16,22,ACC,72,25,53,4,15,27,34,5,25,16,8,2,7,18
123,SEC,N,60,22,42,8,17,8,8,5,16,10,4,4,13,16,PacTwelve,63,24,48,7,11,8,12,13,27,7,6,1,10,13
124,SEC,@,58,22,42,8,17,8,8,5,16,10,4,4,13,16,ACC,55,24,48,7,11,8,12,13,27,7,6,1,10,13
125,SEC,,66,22,42,8,17,8,8,5,16,10,4,4,13,16,BigTen,74,24,48,7,11,8,12,13,27,7,6,1,10,13
126,SEC,,57,22,42,8,17,8,8,5,16,10,4,4,13,16,SEC,67,24,48,7,11,8,12,13,27,7,6,1,10,13
127,SEC,@,62,22,42,8,17,8,8,5,16,10,4,4,13,16,SEC,66,24,48,7,11,8,12,13,27,7,6,1,10,13
128,SEC,,57,22,42,8,17,8,8,5,16,10,4,4,13,16,SEC,56,24,48,7,11,8,12,13,27,7,6,1,10,13
129,SEC,@,48,22,42,8,17,8,8,5,16,10,4,4,13,16,SEC,59,24,48,7,11,8,12,13,27,7,6,1,10,13
130,SEC,,67,22,42,8,17,8,8,5,16,10,4,4,13,16,SEC,69,24,48,7,11,8,12,13,27,7,6,1,10,13
131,SEC,@,55,22,42,8,17,8,8,5,16,10,4,4,13,16,SEC,67,24,48,7,11,8,12,13,27,7,6,1,10,13
132,SEC,N,67,26,57,4,16,11,17,9,35,11,4,2,9,13,PacTwelve,57,23,57,6,20,5,9,7,31,9,6,6,10,17
133,SEC,,75,26,57,4,16,11,17,9,35,11,4,2,9,13,BigTwelve,62,23,57,6,20,5,9,7,31,9,6,6,10,17
134,SEC,N,52,26,57,4,16,11,17,9,35,11,4,2,9,13,BigTwelve,54,23,57,6,20,5,9,7,31,9,6,6,10,17
135,SEC,@,68,26,57,4,16,11,17,9,35,11,4,2,9,13,SEC,75,23,57,6,20,5,9,7,31,9,6,6,10,17
136,SEC,@,78,26,57,4,16,11,17,9,35,11,4,2,9,13,SEC,77,23,57,6,20,5,9,7,31,9,6,6,10,17
137,SEC,,70,26,57,4,16,11,17,9,35,11,4,2,9,13,SEC,60,23,57,6,20,5,9,7,31,9,6,6,10,17
138,SEC,,68,26,57,4,16,11,17,9,35,11,4,2,9,13,SEC,70,23,57,6,20,5,9,7,31,9,6,6,10,17
139,SEC,N,61,26,57,4,16,11,17,9,35,11,4,2,9,13,SEC,71,23,57,6,20,5,9,7,31,9,6,6,10,17
140,SEC,,78,27,66,9,28,15,27,15,38,16,11,6,8,20,PacTwelve,64,26,53,6,20,6,17,7,33,15,4,5,20,24
141,SEC,N,86,27,66,9,28,15,27,15,38,16,11,6,8,20,ACC,79,26,53,6,20,6,17,7,33,15,4,5,20,24
142,SEC,N,64,27,66,9,28,15,27,15,38,16,11,6,8,20,PacTwelve,62,26,53,6,20,6,17,7,33,15,4,5,20,24
143,SEC,@,60,27,66,9,28,15,27,15,38,16,11,6,8,20,ACC,62,26,53,6,20,6,17,7,33,15,4,5,20,24
144,SEC,,77,27,66,9,28,15,27,15,38,16,11,6,8,20,SEC,66,26,53,6,20,6,17,7,33,15,4,5,20,24
145,SEC,@,102,27,66,9,28,15,27,15,38,16,11,6,8,20,SEC,76,26,53,6,20,6,17,7,33,15,4,5,20,24
146,SEC,@,61,27,66,9,28,15,27,15,38,16,11,6,8,20,SEC,52,26,53,6,20,6,17,7,33,15,4,5,20,24
147,SEC,N,63,27,66,9,28,15,27,15,38,16,11,6,8,20,SEC,41,26,53,6,20,6,17,7,33,15,4,5,20,24
148,SEC,N,65,27,66,9,28,15,27,15,38,16,11,6,8,20,SEC,53,26,53,6,20,6,17,7,33,15,4,5,20,24
149,SEC,N,57,27,66,9,28,15,27,15,38,16,11,6,8,20,BigTen,60,26,53,6,20,6,17,7,33,15,4,5,20,24
150,SEC,N,87,32,55,5,11,18,21,3,36,12,10,5,8,17,ACC,58,20,54,4,16,14,19,4,23,8,5,1,13,16
151,SEC,N,92,32,55,5,11,18,21,3,36,12,10,5,8,17,PacTwelve,53,20,54,4,16,14,19,4,23,8,5,1,13,16
152,SEC,N,78,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTen,74,20,54,4,16,14,19,4,23,8,5,1,13,16
153,SEC,,87,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,49,20,54,4,16,14,19,4,23,8,5,1,13,16
154,SEC,@,59,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,75,20,54,4,16,14,19,4,23,8,5,1,13,16
155,SEC,@,76,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,69,20,54,4,16,14,19,4,23,8,5,1,13,16
156,SEC,,84,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,73,20,54,4,16,14,19,4,23,8,5,1,13,16
157,SEC,@,89,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,88,20,54,4,16,14,19,4,23,8,5,1,13,16
158,SEC,@,72,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,79,20,54,4,16,14,19,4,23,8,5,1,13,16
159,SEC,,63,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,50,20,54,4,16,14,19,4,23,8,5,1,13,16
160,SEC,@,67,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,66,20,54,4,16,14,19,4,23,8,5,1,13,16
161,SEC,,74,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,71,20,54,4,16,14,19,4,23,8,5,1,13,16
162,SEC,@,71,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,68,20,54,4,16,14,19,4,23,8,5,1,13,16
163,SEC,,72,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,57,20,54,4,16,14,19,4,23,8,5,1,13,16
164,SEC,,83,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,65,20,54,4,16,14,19,4,23,8,5,1,13,16
165,SEC,,68,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,78,20,54,4,16,14,19,4,23,8,5,1,13,16
166,SEC,@,86,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,87,20,54,4,16,14,19,4,23,8,5,1,13,16
167,SEC,,78,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,72,20,54,4,16,14,19,4,23,8,5,1,13,16
168,SEC,@,81,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,59,20,54,4,16,14,19,4,23,8,5,1,13,16
169,SEC,N,88,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,70,20,54,4,16,14,19,4,23,8,5,1,13,16
170,SEC,N,81,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,67,20,54,4,16,14,19,4,23,8,5,1,13,16
171,SEC,N,90,32,55,5,11,18,21,3,36,12,10,5,8,17,BigTwelve,75,20,54,4,16,14,19,4,23,8,5,1,13,16
172,SEC,N,80,30,50,2,6,18,28,8,31,10,8,4,18,19,BigTwelve,69,25,59,4,16,15,25,15,32,12,5,0,19,26
173,SEC,@,72,30,50,2,6,18,28,8,31,10,8,4,18,19,BigTen,70,25,59,4,16,15,25,15,32,12,5,0,19,26
174,SEC,@,66,30,50,2,6,18,28,8,31,10,8,4,18,19,SEC,63,25,59,4,16,15,25,15,32,12,5,0,19,26
175,SEC,N,46,19,58,4,19,4,7,10,27,8,6,4,14,16,PacTwelve,70,25,50,6,11,14,18,8,34,14,7,4,14,13
176,SEC,N,61,19,58,4,19,4,7,10,27,8,6,4,14,16,ACC,57,25,50,6,11,14,18,8,34,14,7,4,14,13
177,SEC,@,68,19,58,4,19,4,7,10,27,8,6,4,14,16,PacTwelve,70,25,50,6,11,14,18,8,34,14,7,4,14,13
178,SEC,,56,19,58,4,19,4,7,10,27,8,6,4,14,16,ACC,68,25,50,6,11,14,18,8,34,14,7,4,14,13
179,SEC,@,63,19,58,4,19,4,7,10,27,8,6,4,14,16,PacTwelve,59,25,50,6,11,14,18,8,34,14,7,4,14,13
180,BigTen,@,71,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,62,21,50,5,19,15,25,10,27,5,2,3,11,16
181,BigTen,,81,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,72,21,50,5,19,15,25,10,27,5,2,3,11,16
182,BigTen,@,60,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,75,21,50,5,19,15,25,10,27,5,2,3,11,16
183,BigTen,@,57,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,56,21,50,5,19,15,25,10,27,5,2,3,11,16
184,BigTen,,59,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,54,21,50,5,19,15,25,10,27,5,2,3,11,16
185,BigTen,,79,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,74,21,50,5,19,15,25,10,27,5,2,3,11,16
186,BigTen,@,52,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,54,21,50,5,19,15,25,10,27,5,2,3,11,16
187,BigTen,,63,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,67,21,50,5,19,15,25,10,27,5,2,3,11,16
188,BigTen,@,72,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,77,21,50,5,19,15,25,10,27,5,2,3,11,16
189,BigTen,,42,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,41,21,50,5,19,15,25,10,27,5,2,3,11,16
190,BigTen,,70,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,74,21,50,5,19,15,25,10,27,5,2,3,11,16
191,BigTen,@,71,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,84,21,50,5,19,15,25,10,27,5,2,3,11,16
192,BigTen,@,61,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,70,21,50,5,19,15,25,10,27,5,2,3,11,16
193,BigTen,,62,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,67,21,50,5,19,15,25,10,27,5,2,3,11,16
194,BigTen,@,57,23,55,7,23,18,20,13,34,13,3,6,11,21,BigTen,80,21,50,5,19,15,25,10,27,5,2,3,11,16
